Text,Prediction,Label
"Why differentiate only over beta? Surely the residual sum of squares depends also on alpha, so shouldn't we minimize over 2 variables instead of 1?",0,1
"Dear Kristin,Thank you so much for setting up this course! I am extremely excited to start learning. I really appreciate it! I look forward to working with you! <redacted> <redacted>",0,0
"0.5% to 2.3% of newborns have clinical seizures.One thing more, I cannot download the video in *1.7 demo edit 2*. Is there any other way I can get this video? thx~",1,1
"This is my final request for assistantce. I simply cannot download the videos. ihave taken other online Stanford classes and NOT had issues. For some reason, your videos simply do not download for me. I have requested help before but have been ignored. I hgave done my reading and am doing well on my quizzes up to now.....But if I cannot get answers/assistance , I am dropping the class.",1,1
TOTALLY FASCINATING!,0,0
"Since you didn't have a question, please search the discussion forum if you are interested in the topic, e.g. https://class.stanford.edu/courses/HumanitiesScience/StatLearning/Winter2014/discussion/forum/i4x-HumanitiesScience-Stats216-course-Winter2014-course-material-feedback/threads/52f7912c2365ecafc<phoneRedac>",1,0
"How do you have problems where students have to show all their work (like Free Response Questions on the AP test or proofs in geometry)? I don't have computers for each student in my classroom. Do the students take the tests at home? If so, what about students who don't have computers at home? How do you stop cheating?",1,0
Final exame - 20%,0,0
"Sometime the tracking or grouping is based on effort and desire. Would it make sense to separate or group students that don't want to put in the effort and separate them from those that are willing to work? I think I know the answer, we as educators are to motivate these underachievers to reach their full potential. Good thing we have course like this one to continually learn...",0,0
"I agree with your comment about there not being only one \right way\"" to answer the question. That is such a great thing because then this is a low stress, anyone can contribute activity. It engages all learners and expands their view of math as not just one-way and dull, but really creative and fun. Hopefully the teacher can continue on with the lesson being creative not just formulas and rules.""",0,0
"AlanX, I think you're right, I think it has to do with the contrasts you are interested in.If you code: 2 for Asian, 1 for Caucasian, 0 for African, what you will get is a comparison between the weighted average of Asian and Caucasian (with weight 2 for Asian and 1 for Caucasian) versus African.This contrast might make some sense if you're checking for differences in running speed, and you've previously established that an Asian runs twice as fast as a Caucasian (twice of half? please would someone who knows tell me what would be the right interpretation here? - thank you) - and in your current model you're trying to decide whether or not the running speed of an African is different from the average running speed of a non-African.",1,1
"There is an issue with my essay, so I hope someone will help. I was given randomly low grades for my essay without any explanation of what is wrong with it. No one from my reviewers did ANY corrections to it, they have just given the grades that it is \not clear\"", \""difficult to read\"" and contain clutter, without any notes. I cannot explain how angry I am, especially considering the fact that I spend HOURS reviewing other's essays and always explain each of my grade. And the fact that people just randomly put their marks without even trying to understand what is written drives me mad. Can anything be done here?""",1,1
"joycelee, see [this link](https://class.stanford.edu/courses/Medicine/HRP258/Statistics_in_Medicine/discussion/forum/i4x-SampleUniversity-HRP258-course-Introduction_to_Medical_Statistics/threads/51f<zipRedac>2<zipRedac>532fab<phoneRedac>3b) for Dr. <redacted>'s explanation. As far as doing this in Deducer, I'm not sure, but in R, the test is called `mcnemar.test`. See [this page](http://stat.ethz.ch/R-manual/R-patched/library/stats/html/mcnemar.test.html) for more detail.The McNemar exact test is implemented in a package called `exact2x2`. http://cran.r-project.org/web/packages/exact2x2/exact2x2.pdf",0,0
"I just wanted to say that this course has really exceeded all of my expectations. Very well done. I loved how it was formatted. It made it very easy for me to learn on my own time, yet was structured enough to prevent me from procrastinating. I especially liked how all of the lectures had text that you can read along with. I understand that this is most likely for the hearing impaired students, but it was very useful for me as well! I also really enjoyed the little quirks, like how it would spell out \cough\"" or \""inaudible sounds\"". Don't fix those! They made me laugh. I also want to echo the other student that commented on the \""In this module\"" intros. I loved it! Again thanks so much. What a wonderful world we live in where we can get free education at this quality.""",0,1
"an expectant mother is rushed into the ER with a crushed left leg following a motocycle accident, her B.P is low, she is tachycardic, with cold extremities, fetal heart rate not appreciated, pregnancy is full term.what do u do first? amputation,C/section or both at ago?",0,1
Thank you for your candor. I look forward to your perspective on the themes of this course.,0,0
"It wouldn't change what I do personally because I tutor one-to-one and treat every student as an individual. I agree that every student has endless potential with the right set of circumstances, however, everybody learns at a different pace and there are many learning styles. I am concerned that the tone of this video is about challenging students rather than stretching them. There is a significant \confidence\"" element to maths learning, and pitching teaching too high and too fast for some students can crush that. Most students who come to me have given up at school because they feel too challenged and lessons move from topic to topic too quickly. I still strongly believe we should stream students by ability but maybe we should call it something else, like streaming for pace of learning or learning style. A good school will have flexibility to move students between classes as their speed of their development changes.At this point in the course, I don't feel that there is enough evidence presented on the speed of brain growth and ability to change what I do. There are plenty of examples of people with even mild brain injury who do not recover their abilities.Having read some of the posts here though, I have a few students who lack self-belief so I will share this research about brain growth with them.""",0,0
I used to get stumped on these - trying hard to remember which type of formula to use. it was quite liberating to just try and draw a picture. BTW - how much is 15/8 hr? I'd have required hours & minutes!,0,0
"After you have graded the required number of peer essays, and the required number of students have graded your essay, you should see a button for 'New Submission' on the Writing Assignment webpage. After you click on the button, you will be prompted to enter your new essay.Raj",0,0
<nameRedac_<anon_screen_name_redacted>>Having seen the use of the Avacore warming devices do ski resorts have them accessible for people when they bring them in from having been lost on the slopes or in the backcountry?,1,1
"Hi! I am a Literacy Coach at an elementary school in Florida. My job is to provide professional development, coaching, modeling and planning in literacy to the teachers at my school. I will be collaborating with the math coach at the school this coming school year. I am very excited about this. I am taking this course to broaden my knowledge in math. I was always told \I didn't have math brain\"" and that shaped my beliefs about math for many, many years. I hope to learn ways to help my teachers avoid that negativity about math through taking this course.""",1,0
"Thanks a lot for your comments. I am still not fully convinced about the so called best answer: 'Risk is decreased by <zipRedac>5 women per <zipRedac>0,000 per year' . A woman who comes in and hears that info will freak out. That says basically only <zipRedac>5 out of <zipRedac>0000 per year will have lower risks of developing a breast cancer. The question she is going to ask am I going to be among those <zipRedac>5 or not ? Is this a lot ? Am I going to develop cancer? What's happening to woman of my age? To me, it sounds more informative to describe to a woman that she is potentially a person at risk (add some numbers, the risk is X person/ Y people) meaning she may or may not develop a cancer, BUT if she takes that drug, her risk of developing cancer will be halved. This is more concrete at the individual level. The key info is the risk reduction by 50% not some numbers people cannot refer to. This is my opinion. Any other takers? Profs / instructors ? Thanks.",1,1
"Thanks for the information and putting tougher a wonderful course together. I am a grad student currently writing my thesis, 1 manuscript, 2 abstracts, 1 poster so going through all the material really helped me out here and that is why i was excited enough to finish it so fast. I also did your stats course earlier in the summer and found it to be equally helpful.",1,0
Option c in Problem 2.18 says \Heat Stoke\" instead of \"Heat Stroke\"",1,1
Why \elite\"? Are you sure such a small fluctuation can't be due to... chance? :)",1,0
"First, Henry Hazlitt on Keynes' General Theory, which \is largely credited with creating the terminology and shape of modern macroeconomics.\""\""Now though I have analyzed Keynes's General Theory in the following pages theorem by theorem, chapter by chapter, and sometimes even sentence by sentence, to what to some readers may appear a tedious length, I have been unable to find in it a single important doctrine that is both true and original. What is original in the book is not true; and what is true is not original. In fact, as we shall find, even much that is fallacious in the book is not original, but can be found in a score of previous writers.\""Source: [Book PDF][1]Now look at this apparent paradox:\""Although natural disasters cause a great deal of damage disasters are also more likely to promote growth rather than retard it (Skidmore og Toya, <zipRedac>00<zipRedac>; The cost Japan, <zipRedac>011; Bill Emmott, <zipRedac>011; Cookson og Pilling <zipRedac>01 1; Horwich, <zipRedac>000). After the earthquake in China in <zipRedac>008, the Chinese govemment announced that money that would be put into the rebuilding efforts and the subsequent economic growth would outweigh the economic loss and would result in a total gain in GDP by 0.3% (Bennett, <zipRedac>008). Similar evidence is found in the aftermath of the Kobe earthquake of 1995 in Japan. The earthquake, that struck in January 1995, resulted in more growth for every quarter, except the first, than in the previous year with a total GDP growth of 1.4% from a 0.6% growth in 1994 (Horwich, <zipRedac>000). The trend shows that unless there is a fundamental underlying weakness in the system or if there is a radical revolution following the disaster a natural disaster is likely to promote a short-term growth spurt (McRae,<zipRedac>007; Japan and growth, <zipRedac>011).\""[Source][<zipRedac>]Do natural disasters stimulate economic growth?: [NY Times Article][3]The Myth of U.S. Prosperity during World War II: [Independent Article][4]\""The strongest case for it has long been World War II, which Davis and Jaffe claim 'clearly was a boon for the U.S. economy.' But a boon in what sense? Unemployment fell during the war entirely because of the buildup of the armed forces. In 1940, some 4.6<zipRedac> million persons were actually unemployed (the official count of 7.45 million included <zipRedac>.83 million employed on various government work projects). During the war, the government, by conscription for the mo""",0,0
Hi Vira! It is nice to meet you here too! What city are you from? Are you ready for some hard work in here? :),0,0
"Thank you Raleen and Rashidmd. English is my second language, so I often found these particular confusin! Like Sudarshan said below \in a newspaper\"" but \""on the front page\"". I feel like \""in\"" is used when it's \""inside\"" but \""on\"" is more \""superficial\"" like.. \""the glass is on the table\"" and \""at\"" more location. But then once it comes to \""Virtual\"" world\"" like \""on the website\"" it's a bit confusing to me! thanks for all the replies!! :)""",0,0
"Really, sometimes countries are in dilemma to accept the application because may have a negative effect on other issues.",1,0
"We are all afraid of making mistakes, but in mathematics we learn from our mistakes.",0,0
"I agree. I also see this fixed mind set in sports. My daughter plays softball and one girl on the team, if she makes even alittle error...she is done for the rest of the game. She hates to make any mistakes at all.",1,0
As I my undrestanding Rate ratio is 0.46 it means ratio of incident rate by using vioxx is 46 %and rate ratio is less than 1 (0.46) we have to interpret protective effect or reduce risk which is( 100-46=54) 54%,0,1
"Overall increases in government spending reduces GDP shares available to the private sector. This would shift supply curve leftward. This will cause real interest rates to rise and thus consumption, investment and net exports to decrease.Given that government spending is in the trillions, these particular over expenditures will not have a significant impact on the supply curve shift. But if this excess waste is indicative of government spending in general, then the supply shift is more radical.",0,0
"Can we predict it, since it should be normal distribution. Does it equal to sqrt(p*(1-p)*n)?",0,1
ya we will definitely meet,0,0
"How can the formula for SD be correct? the calculation is correct, but it does not follow the formula which indicates summation of (xi-X), and not summation of n(xi-X). can anyone explain how the calculation followed the formula?",0,1
no video here too,0,1
"I also agree the grading system is somewhat arbitrary. Two of my graders just gave me 2's across the board with no comments. It seems to me they didn't even read my essay. I actually appreciated the third reviewer-- he/she gave me lower scores, but with many comments in my essay. At least he/she read my essay! I am not getting stressed over it, the scores won't prevent me from passing the class. However, I don't have a chance now of passing \with distinction\"" and I wish that I was able to either earn distinction, or not earn it, based on my writing skill rather than on arbitrary grading scores.""",0,1
good explanation josh,0,0
Hello!I'm <nameRedac_<anon_screen_name_redacted>> from Malaysia but currently working in Singapore as a Research Assistant in a university research centre. My main interests are in user and usability research. This course definitely will help in my exploration of R and using stat learning to inform user requirements for product development.,1,0
does the water work like an insulator if it is not circulating in the tank?,0,1
The p value tells us the probability of observing a sample statistics as extreme(or more extreme) as the one observed in the test by chance.,0,0
I agree. We need to remember that it takes time and skill to establish ourselves as credible sources for the students. Just be assigned to them as a teacher does not make as credible. We have to establish that relationship.,0,0
"Can people feel SAD even in the best of conditions- sun, laying on the beach, or during this sudden cold/snow snap sapping most of the country?",0,1
"Using dot cards for a number talk helps students to see numbers conceptually. Also, the discussion which follows gives students opportunities to understand how others see the dots.",1,0
"Number needed to harm - by definition, shouldn't this be in terms of events per number of persons exposed (and not per person-years of exposure)? This way, the answer works out to 1/{(20/4047)-(4/4029)} = 253.I wonder if tagging work on this forum. I guess we could find out - <redacted> :)",0,1
I was surprised by the students use of the vocabulary decomposing. That is something that a lot of Asian students in their home countries do that is not seen enough in American schools. These students were factoring problems and seeing patterns in numbers. I like that they are thankful for their teacher doing the number talks. They realize they didn't always think like this and are happy they are going to think this way in the future.,1,0
Wish you all good luck :),0,0
"I just wanted to point out an error in the survey. It asks how many online courses we've started, and then how many we've completed - but it doesn't ask how many we're still taking. I started 8, and completed 4, making it seem like I didn't finish 4 - but I'm currently still taking 3 - so I only dropped one course.",1,1
"I teach very bright kids. My thought is that the other teachers first of all don't know how to challenge these precocious thinkers. That traditionally has needed special training. Also, our state and city standards are very binding. It could be that the state standards are moving toward common core, but our district requirements still remain at the lower level of thinking found in the textbook. Bit of a sticky wicket.",0,0
